微博内容,发布者名称,发布时间以及设备,发布者主页
#哈铁微分享#【最新消息！#长沙自建房倒塌第9名被困者救出#】今天，湖南#长沙自建房倒塌事故救援第5天#。凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。期待更多奇迹！L央视新闻的微博视频（总台记者尧遥陈稼）​,哈尔滨铁路,21分钟前 来自Android,https://weibo.com/1957405325?refer_flag=1001030103_
#长沙自建房倒塌事故救援第5天#希望每天都有奇迹发生🙏🙏🙏​,我是1118要要要发,22分钟前 来自黑鲨游戏手机2,https://weibo.com/7723105292?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#希望所有人都能被救出来🙏​,那里有花这里有瓜,22分钟前,https://weibo.com/6056744142?refer_flag=1001030103_
【#长沙居民自建房倒塌事故近88小时后救出第九名被困者#】5月3日，湖南长沙。凌晨4时许，居民自建房倒塌事故救援现场，一名被困人员成功获救，被紧急送往医院治疗。这是本次事故发生以来第九名获救被困者，现场响起热烈掌声。O长沙居民自建房倒塌事故救出第九名被困者L七环视频的微博视频​,七环视频,23分钟前 来自微博视频号,https://weibo.com/6066193547?refer_flag=1001030103_
【最新！湖南长沙居民自建房倒塌事故#第9名被困人员被救出#】,渝北法院,23分钟前 来自小米8周年旗舰手机,https://weibo.com/3936801022?refer_flag=1001030103_
【最新消息！#长沙自建房倒塌第9名被困者救出#】今天，湖南#长沙自建房倒塌事故救援第5天#。凌晨4时许，第9名被困人员被救出，是一名女性，已被送往医院救治。期待更多奇迹！@央视新闻L央视新闻的微博视频​​​O网页链接​,陕西延安消防,23分钟前 来自微博视频号,https://weibo.com/3299203424?refer_flag=1001030103_
【湖南长沙居民自建房倒塌事故第8名被困人员被救出！】5月2日晚上7时20分左右，在湖南长沙居民自建房倒塌事故现场第8名被困人员被救出。是一名年轻女性伤员腿部被压受伤救出后被紧急送往医院接受治疗在伤员被救出之前救援人员给她进行了补液、止血、镇痛治疗。​,三秦公益,24分钟前 来自华为手机畅享玩不停,https://weibo.com/1678145045?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#5月3日4时15分左右，经过救援人员的努力，第9名被困人员成功获救，第一时间送往医院救治。#长沙自建房倒塌事故救援第5天##第9名被困人员被救出#L中国消防的微博视频​​​O网页链接​,陕西延安消防,24分钟前 来自微博视频号,https://weibo.com/3299203424?refer_flag=1001030103_
【湖南长沙居民自建房倒塌事故#第9名被困人员获救时称能看到光#】5月3日4时15分左右，长沙居民自建房倒塌事故#第9名被困人员被救出#，此时距事发已近88小时。据救援人员介绍，被救者是一名女性，消防员在找到其准确定位并打通了一个孔后，问“你能看见光吗？”“能看见。”在得到其肯定回答后，现场医​展开c,生活帮,24分钟前 来自微博视频号,https://weibo.com/1841812881?refer_flag=1001030103_
#长沙自建房倒塌第9名被困者救出#加油更多的奇迹。​,横推八百无对手轩辕重出柯南王,24分钟前 来自华为畅享20Pro,https://weibo.com/5921945806?refer_flag=1001030103_
